,Title,Company,Location,Job Description,When Posted
58,"Senior Manager, Biostatistics / Data Reporting and Analytics, KPSC R&E Behavioral & Health Services Research",Kaiser Permanente,"Pasadena, CA","(Position is largely remote but will require California residence) Job Summary: In addition to the responsibilities listed below, this position is also…",Posted 30+ days ago·
59,"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.","Culver City, CA","Analyst, Data Management & Reporting. Our Team Worldwide Television Distribution is based in Culver City and responsible for licensing features, series and…",Posted 29 days ago·
60,Business Intelligence Analyst,Paramount+,"Los Angeles, CA 90069","About Us: Paramount Streaming is a division of Paramount that encompasses both free, paid, and premium streaming services including Paramount+, Pluto TV, CBS…",Posted 1 day ago·
61,AWS Data Engineer - Mumbai,Fugetron Corporation,"Los Angeles, CA","Job Opportunities Welcome to Fugetron Corp! We look forward to meeting you! Come join us to expand our journey into the world of technology. At Fugetron, we…",Posted 13 days ago·
62,"Data Scientist - Tiktok Ads, Ads Measurement",TikTok,"Los Angeles, CA",Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·
63,"Data Reporting and Analytics Consultant IV / Biostatistician, Biostatistics Research",Kaiser Permanente,"Pasadena, CA","(Position is primarily remote but requires residence in California) Job Summary: In addition to the responsibilities listed below, this position is also…",Posted 30+ days ago·
64,"Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA",Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·
65,Data Scientist,AE Studio,"Los Angeles, CA","AE Studio is an LA-based company focused on increasing human agency while maintaining our ineffable culture and whimsy. If the work diminishes agency, we may…",Posted 30+ days ago·
66,Machine Learning Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245","Company Overview Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers. At Millennium, you…",Posted 30+ days ago·
67,"Manager, Data Analytics",Disney,"Burbank, CA","Manager, Data Analytics Apply Later Job ID 10066638 Location Burbank, California, United States Business Disney Music Group Date posted Nov. 10, 2023 Job…",Posted 30+ days ago·
68,Statistician and Psychometrician- SOM,Kaiser Permanente,"Pasadena, CA",The Statistician and Psychometrician provides leadership for statistical and analytic support for research projects and other scholarly work undertaken by…,Posted 30+ days ago·
69,Pricing and Valuations Analyst (Remote),Manufacturers Bank,"Remote in Los Angeles, CA 90071","NEW DIGITAL BANK MISSION STATEMENT Join us on our mission to create a completely new, 100% digital bank that truly serves customers' best interests. We are a…",Posted 30+ days ago·
70,"Associate Director, Data Science and Advanced Analytics",Kite Pharma,"Santa Monica, CA","Job Description At Gilead we believe every employee deserves a great leader. As a people leader now or in the future, we expect that you will model and…",Posted 30+ days ago·
71,Sr. Data Analyst,MaryRuth's,"Remote in Los Angeles, CA","The Role The Sr. Data Analyst will join our Growth team and report to our Analytics Director. This individual will tackle MRO MaryRuth, LLC’s most…",Posted 25 days ago·
72,Senior Data Engineer,GOBankingRates,"Remote in Los Angeles, CA","GOBankingRates™ is unique in the digital marketing and media industry - we combine marketing, digital, content and fintech. Our performance based approach…",Posted 30+ days ago·
73,DATA SCIENTIST SUPERVISOR,Los Angeles County Department of Human Resources,"Los Angeles County, CA",TYPE OF RECRUITMENT OPEN COMPETITIVE EXAM NUMBER Y1765A APPLICATION FILING PERIOD 10/23/2023 AT 8:00 A.M. (PT) This examination will remain open until…,Posted 30+ days ago·
74,Programmer/Analyst - Smidt Heart Institute,CEDARS-SINAI,"Los Angeles, CA",Job Description Grow your career at Cedars-Sinai! The Smidt Heart Institute reflects Cedars-Sinai's steadfast dedication to heart disease and research…,Posted 30+ days ago·
