,Title,Company,Location,Job Description,When Posted
64,"Manager, Data Analytics",Disney,"Burbank, CA","Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Active 4 days ago
65,"Sr Data Scientist, Product Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Active 4 days ago
66,"Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA","Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Active 4 days ago
67,"Data Reporting and Analytics Consultant IV / Biostatistician, Biostatistics Research",Kaiser Permanente,"Pasadena, CA",Prepares data for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; profiling data inaccuracies and recommending…,Active 4 days ago
68,Data Analyst,Unis Company,"Buena Park, CA 90620",Develop and implement data collection systems and other strategies to optimize data quality and operational efficiency.,Active 4 days ago
69,Merchandise Data Analyst,Miniso USA,"West Covina, CA 91790","Bachelor’s degree in data science, Business Analytics, Statistics, or a related field.",Active 4 days ago
70,Machine Learning Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245","Experience with data structures, data modeling, and software architecture.",Active 4 days ago
71,Database Engineer,California Institute of Technology,"Pasadena, CA 91125 ",Experience applying big data technologies and supporting data science activities.,Active 4 days ago
72,"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.","Culver City, CA","Excellent data manipulation, data cleaning and data visualization skills for summarizing large data sets to help facilitate decision making and strategic…",Active 4 days ago
73,Statistical Research Programmer,RAND Corporation,"Los Angeles, CA 90071 ",Minimum one year of experience working with commercial and supply chain data.,Active 4 days ago
74,Data Analytics & Insights Senior Specialist,Southern California Edison,"Irwindale, CA 91010","Experience in data warehousing and extraction tools, technical data concepts, design, data engineering, and statistical forecasts.",Active 4 days ago
