,Title,Company,Location,Job Description,When Posted
136,Claims Research/ Data Analyst Sr (EDI/Edifecs),Molina Healthcare,"Long Beach, CA 90802",Validates data received on claims to identify billing issues that will impact claims processing and payment.,Posted 20 days ago·
137,"Sr. Analyst, HRIS & HR Analytics",Valley Presbyterian,"Van Nuys, CA 91405",Applying data science techniques to analyze data trends and generate insights to help inform continuous process improvement.,Posted 11 days ago·
138,Charge Capture Coordinator - Clinical Revenue Integrity,Keck Medical Center of USC,"Alhambra, CA",Req Must have excellent data entry and quality outcome skills.,Posted 3 days ago·
139,Key Account Manager,Inizio Engage,"Los Angeles, CA","Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Posted 10 days ago·
140,"Manager, Sales Reporting (Automotive OEM)",Fisker Inc,"Manhattan Beach, CA 90266","Collaborate with the sales planning team to provide data-driven insights and support in sales forecasting, budgeting, and setting sales targets based on…",Posted 30+ days ago·
141,"Machine Learning Engineer, 5+ Years Experience",Snapchat,"Los Angeles, CA 90291 ",Advanced degree in computer science or related field.,Posted 30+ days ago·
142,Data Science Program Manager - SFL Scientific,Deloitte,"Los Angeles, CA","6+ years' experience managing and delivering complex and technical projects, preferably in the data science space.",Posted 30+ days ago·
143,Chief AI Officer,Proper Hospitality,"Los Angeles, CA","Oversee the build-out of AI infrastructure and data pipelines, leveraging guest data, property management systems (PMS), and other hospitality-specific data…",Today·
144,Oncology Key Account Manager,Inizio Engage,"Los Angeles, CA","Our passionate, global workforce augments local expertise and diverse mix of skills with data, science, and technology to deliver bespoke engagement solutions…",Posted 30+ days ago·
145,Principal Data Scientist,FLYR Labs,"Hybrid remote in Los Angeles, CA","Work with other technical product owners, lead data scientists and data science managers to develop technical solutions.",Posted 30+ days ago·
146,"Principal Machine Learning Engineer, ML Training Platform",Snapchat,"Los Angeles, CA 90291 ",Masters/PhD in a technical field such as computer science.,Posted 30+ days ago·
147,"Sr. Software Engineer, Full Stack (NDE)",SpaceX,"Hawthorne, CA","Experience in full stack development, software engineering, data engineering, or data science.",Posted 21 days ago·
148,Power Market Consultant - 1898 & Co. (Multiple California Locations),Burns & McDonnell,"Los Angeles, CA","Conduct data analysis and interpretation of engineering, financial, and economic conditions and results, and subsequent technical business implications to…",Posted 2 days ago·
149,"Research Scientist, Machine Learning (PhD)",Meta,"Los Angeles, CA 90066 ","Research and/or work experience in machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence,…",Posted 24 days ago·
150,Digital Modeling Engineer III,ManTech,"El Segundo, CA 90245","Bachelor’s degree in computational engineering analysis or Master’s degree in computer science, data science, engineering, or mathematics.",Posted 9 days ago·
151,"Adjunct - FY24 Mathematics Instructor, (Statistics Emphasis)",Los Angeles Community College District,"Los Angeles, CA 90017 ","Be knowledgeable in various programming languages related to data science, such as Python, R, etc.;",Posted 30+ days ago·
152,"Director, Analytics - Creator (Customer) Insights",Spotter,"Los Angeles, CA",Ability to troubleshoot data-related issues.,Posted 6 days ago·
153,Lead Hardware Reliability Engineer (Starlink Product),SpaceX,"Hawthorne, CA","Professional experience in analytics, data science, or machine learning.",Posted 13 days ago·
154,Senior SEM Analyst,Tripadvisor,"Remote in Los Angeles, CA",Analyze marketing data to identify actionable insights.,Posted 30+ days ago·
155,Deals Tech & Data Solutions (Financial Analytics) - Sr. Associate,PRICE WATERHOUSE COOPERS,"Los Angeles, CA",And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·
156,Deals Tech & Data Solutions (Financial Analytics) - Manager,PRICE WATERHOUSE COOPERS,"Los Angeles, CA",And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·
157,Responsible AI – Advisor - Senior Manager,Accenture,"Los Angeles, CA 90013 ",Act as subject matter expert for Responsible AI within a data science / data transformation team.,Posted 30+ days ago·
